priority,repository_or_collection,shelfmark_or_record,object,why_relevant,current_control,comparison_target,evidence_status,next_action
B0,"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek","2° Ms. Hass. 50; probable concordance with old MSS. hess. fol. 50","Johann Adam Bernhard, Die Alterthümer des Hochfürstlichen Hauses Hessen in ihrer Wahrscheinlichkeit und dann in ihrer Gewißheit","Direct Bernhard Hessian-dynastic historical manuscript reportedly presented in clean copy to the Landgrave; exceptionally close comparator for sixth-part dynastic/regnal historiography","ADB Bernhard identifies old Kassel shelfmark MSS. hess. fol. 50 and title; UB Kassel 2012 Hassiaca holdings list independently confirms current 2° Ms. Hass. 50 exists and is in Hassiaca catalogue; exact old-modern shelfmark/title concordance not yet directly verified","1754 sixth part pp.1-490, especially source formulas, dynastic chronology, p.377ff Bernhard continuation, Bernhard hand/editorial practice",probable_shelfmark_concordance,"recover actual Hassiaca catalogue description for 2° Ms. Hass. 50; verify title/extent/date/hand/provenance and old-shelfmark equality; inspect representative leaves"
B0b,"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek","2° Ms. Hass. 51; probable concordance with old MSS. hess. fol. 51","Johann Adam Bernhard attribution in ADB: Beschreibung der vormaligen fürstlichen Abtei Hersfeld","Territorial subject directly overlaps Winkelmann's public project title Fürstenthümer Hessen und Hersfeld; potentially strong Bernhard vocabulary/source-practice comparator","ADB Bernhard identifies old Kassel shelfmark MSS. hess. fol. 51 for the anonymous Hersfeld description; UB Kassel 2012 Hassiaca list independently confirms current 2° Ms. Hass. 51 exists and is in Hassiaca catalogue; exact old-modern concordance remains unverified","1754 sixth part and earlier Winkelmann Hessen/Hersfeld textual zones; Bernhard source/citation practice",probable_shelfmark_concordance,"recover actual Hassiaca catalogue description for 2° Ms. Hass. 51; verify attribution/title/extent/date/hand/provenance and old-shelfmark equality"
B0c,"Hessisches Staatsarchiv Darmstadt","102; Alt-/Vorsignatur C 1 Nr. 195/40","Johann Adam Bernhard, Vormalige Beschaffenheit und eigentliche Gestalt des Buseckerthals, c.1760","Directly attributed physical Bernhard manuscript, close in date to 1754, using historiographical and juridical literature to argue Hessian territorial rights; excellent hand/source-formula comparator","DDB/HStAD item-level record controls title, Bernhard authorship, c.1760 date, 64 leaves, quarto paper libellus with fixed boards, and historiographical/juridical source scope","1754 pp.377-490: citation formulas, documentary rhetoric, syntax, handwriting if manuscript-side printer copy emerges; broader Bernhard source-critical persona",verified_archive_item,"inspect digitization/reproduction status; obtain representative leaves and extract source-reference formulas and hand characteristics"
B1,"Hessisches Staatsarchiv Marburg","H 146","Johann Adam Bernhard, Acta & Historiae der Herren und Grafen von Hanau","Substantial surviving Bernhard historiographical manuscript; can supply hand/style/source-formula controls for the 1754 continuation","Repeatedly cited in modern Hessian historical scholarship as Bernhard manuscript in HStAM","1754 sixth part especially pp.377-490; handwriting if printer-copy/additional manuscript emerges",verified_secondary_shelfmark_control,"recover Arcinsys item-level description/extent/dating; inspect representative pages and search Winkelmann/Hessen references"
B2,"Hessisches Staatsarchiv Marburg","Slg 1 Nr. 151 a","Bernhard collections on Hanau history, including material on 1633-1645","Part of surviving Bernhard manuscript corpus; potential source-comparison environment","Shelfmark reported in Bernhard work lists / secondary archival references","1754 source formulas, documentary excerpts, compilation method",reported_archival_shelfmark,"recover exact Arcinsys description and inspect provenance/hand"
B3,"Hessisches Staatsarchiv Marburg","R Nr. 1116","Bernhard Drittes Repertorium / Salbuch-related material","Shows Bernhard archival working method and controlled hand near 1741","Shelfmark reported in Bernhard work lists","1754 editorial/source-routing practice",reported_archival_shelfmark,"recover item description and digitization status"
B4,"Hessisches Staatsarchiv Marburg","R Nr. 1130","Bernhard chronologically arranged repertory of Hanau archive, c.1750","Chronologically close to 1754 and created inside archive Bernhard administered; potentially reveals source set available during reconstruction","Shelfmark reported in Bernhard work lists","1754 pp.377ff source sequence / document references",reported_archival_shelfmark,"recover item description; test whether cited documents overlap sixth-part continuation"
B5,"Hessisches Staatsarchiv Marburg","R Nr. 112","Bernhard-related Hanau archival specification / repertory material","Additional controlled manuscript-hand/source-order comparator","Shelfmark reported in Bernhard work lists","1754 Bernhard continuation and register terminology",reported_archival_shelfmark,"recover exact title/date/hand and compare terminology"
B6,"Hanauer Geschichtsverein / Stadtarchiv Hanau","Dienerbuch and Bernhard manuscript holdings","Surviving Bernhard manuscripts remain in HGV custody and are consultable via Stadtarchiv Hanau","Institutional/secondary holdings control","Bernhard hand, editorial practice, source formulas; search direct Winckelmann references",verified_collection_route,"request inventory of Johann Adam Bernhard manuscripts and search terms Winckelmann/Winkelmann/Hessische Chronik/Sechster Theil/Estienne"
B7,"1754 print","VD18 11053887; ULB AB BB 2264 (6); BSB 2 Germ.sp. 164-2","printed sixth part pp.360-390 boundary window","ADB places Bernhard continuation at p.377","Printed metadata controlled; page images not yet directly inspected in current tool environment","compare p.376 ending / p.377 opening / p.378ff; running heads, source formulas, section break, typography",historical_attribution_boundary,"obtain IIIF/PDF page images and inspect narrow window"
