winckelmann_1664_page,obermeier_1664_motif,staden_1557_part,staden_1557_chapter_or_occurrence,staden_1557_motif_or_occurrence,context_relation_1664_vs_1557,matrix_status,state_feature,evidence_status,notes,source
140,"Indigenous village with caiçara",II,5,"typical Indigenous village / village architecture","mapping likely; exact narrative relation not yet audited","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF; 1557 occurrence mapping probable","Do not infer same matrix from motif match alone","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
142,"fishing with arrows",II,8,"fishing with arrows; Obermeier notes same/repeated motif also in I.47","composition-level match strong; exact 1664 narrative placement to audit","CATALOGUE_SAME_MATRIX_ATTRIBUTION_ONLY","JCB individual record says reprinted from original 1557 woodcut","JCB_INDIVIDUAL_CATALOGUE + OBERMEIER_APPENDIX","Positive catalogue control, not yet direct defect/dimension concordance","JCB AEAI 01512-5; Obermeier appendix; https://jcb.lunaimaging.com/luna/servlet/detail/JCB~1~1~4830~7600003"
143,"preparation of Cauim by women",II,11,"Cauim preparation","mapping strong by distinctive motif","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_APPENDIX_OCCURRENCE","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
144,"dance around killing club inside hut",II,29,"ritual sequence around ibirapema / captive","broad motif-series match; exact subimage within chapter-29 series needs direct pairing","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF; 1557 series controlled","Do not assign exact matrix until image pair recovered","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
155,"killing of captive",II,29,"killing of captive in anthropophagic ritual sequence","strong motif-series match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF; 1557 series controlled","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
157,"dismemberment of body",II,29,"dismemberment in anthropophagic ritual sequence","strong motif-series match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF; 1557 series controlled","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
158,"women at cannibal meal",II,29,"women eating entrails / anthropophagic meal sequence","strong motif-series match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF; 1557 series controlled","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
159,"epidemic attributed to moon's anger; Staden as healer",I,OPEN,"epidemic / healing episode","motif relation strong; exact chapter number held open pending source-page audit","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","Earlier working note suggested I.35; not promoted here","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
166,"reusable ship image, angular version",I,OPEN,"one of recurrent ship blocks","reused generic/recurring ship motif; narrative relation requires occurrence-level audit","UNVERIFIED","angular ship version","OBERMEIER_APPENDIX_MOTIF/STATE","Keep distinct from p.171 round-ship state","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
168,"attack by Indigenous people on an Indigenous village",I,29,"attack on an Indigenous village / Ataque dos Tupiniquins à aldeia de Ubatuba","RECONTEXTUALIZED: 1664 surrounding text is first-voyage Garasu/Igarassu sequence while inherited motif belongs to later captivity narrative","UNVERIFIED","JCB catalogue reports names present in original eliminated in 1664","OBERMEIER_APPENDIX_MOTIF + JCB_CATALOGUE_STATE_REPORT + 1557_BBM_CONTROL","Supersedes earlier Igarassu-scene hypothesis. This row is a key matrix/composition-authenticity != contextual-authenticity control.","Obermeier 2024/2025 appendix; JCB/Open Library edition note; Brasiliana Iconográfica BBM id 45000008047.77 https://www.brasilianaiconografica.art.br/obras/23530/ataque-dos-tupiniquins-a-aldeia-de-ubatuba"
170,"coast in Potiguara region; first-voyage fight with Brazilian boats",I,OPEN,"first-voyage coastal/boat combat","broad narrative-domain relation; exact 1557 occurrence open","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
171,"round ship",I,"repeated ship occurrence after ch.53","reusable round-ship woodcut in recut state","occurrence/state lineage potentially strong but matrix identity still independent question","UNVERIFIED","upper-left fish mouth recut/completed; state already visible in repeated impressions within 1557 edition","OBERMEIER_APPENDIX_STATE_CONTROL","Diagnostic state feature is not by itself proof of same physical block: a recut copy could reproduce the corrected form","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
175,"Santa Catarina island",I,9,"Ilha de Santa Catarina","strong distinctive scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 appendix; Brasiliana Iconográfica Staden 1557 corpus"
179,"shipwreck near São Vicente",I,12,"Naufrágio nas proximidades da povoação de Itanhaém / São Vicente shipwreck","SAME NARRATIVE EPISODE at scene level; IA text around pp.178-180 independently fits shipwreck sequence","UNVERIFIED","JCB catalogue reports names present in original eliminated in 1664; 1557 image visibly carries multiple geographic labels","OBERMEIER_APPENDIX_MOTIF + JCB_CATALOGUE_STATE_REPORT + TEXT_CONTEXT + 1557_BBM_CONTROL","Priority matrix/state pair","Obermeier 2024/2025 appendix; JCB/Open Library edition note; Brasiliana Iconográfica Staden corpus https://www.brasilianaiconografica.art.br/obras/%40relId/23153"
181,"Indigenous attack at Boiçucanga",I,OPEN,"combat/attack episode at Boiçucanga","motif and place relation strong; chapter number open pending audit","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
184,"capture of Staden",I,18,"capture of Hans Staden by Tupinambá near Bertioga","strong distinctive narrative-scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 appendix; Brasiliana Iconográfica Staden 1557 corpus"
186,"Indigenous attack on Santo Amaro with Staden participating",I,OPEN,"Santo Amaro combat scene","scene relation strong; exact chapter open","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
187,"Staden among smoking Indigenous people",I,30,"Staden among smoking Indigenous people","strong distinctive scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
189,"Staden before cross; first miracle",I,OPEN,"cross / miracle episode","motif relation strong; chapter number open","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
190,"Staden brought captive into village",I,22,"arrival / captive brought into village","strong narrative-scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
191,"Staden and ritual dance / Poracé",I,23,"Poracé / ritual reception-dance episode","strong narrative-scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 appendix; Brasiliana Iconográfica Staden 1557 corpus"
192,"second miracle during fishing",I,OPEN,"fishing / miracle episode","motif relation strong; chapter number open","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
194,"Staden before Quoniambec / Cunhambebe",I,28,"dialogue before Cunhambebe / Konyan Bebe","strong distinctive scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 appendix; Brasiliana Iconográfica Staden 1557 corpus"
196,"attack on round caiçara-protected Indigenous village; Staden as defender",I,OPEN,"village-combat scene with Staden as participant","scene relation strong; exact occurrence open","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
206,"death of Cario/Carijó man; Staden as healer",I,40,"illness and execution of captive Carijó; Staden healing context","strong narrative-scene relation","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 appendix; Brasiliana Iconográfica Staden 1557 corpus"
207,"head of killed man put into cooking pot",I,40,"continuation of Carijó execution / anthropophagic processing episode","strong same-episode relation","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","Could also intersect iconographically with ethnographic cannibalism series; keep occurrence tied to narrative sequence until direct pair","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
209,"Staden attempts to leave on French ship and is refused",I,41,"attempted escape on French trading ship; refusal","strong distinctive narrative-scene match","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF + 1557_OCCURRENCE","","Obermeier 2024/2025 appendix; Brasiliana Iconográfica Staden 1557 corpus"
211,"Indigenous village with São Sebastião island",I,OPEN,"village / São Sebastião topographic scene","place-level relation strong; chapter open","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
212,"Staden capture image with Staden lying down",I,OPEN,"capture motif variant / occurrence","exact 1557 occurrence unresolved","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","Do not merge automatically with p.184 capture occurrence","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
214,"Indigenous village with cannibal scenes in background",OPEN,OPEN,"village + cannibalism composite motif","exact 1557 source occurrence unresolved","UNVERIFIED","","OBERMEIER_APPENDIX_MOTIF","","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
217,"Poracé, repeated woodcut",I,23,"Poracé / ritual reception-dance","REPEAT WITHIN 1664 PROGRAMME; relation to p.191 to be tested at impression/matrix-state level","UNVERIFIED","repeated woodcut according to Obermeier","OBERMEIER_APPENDIX_REPEAT_CONTROL","Important internal 1664 same-host repeat pair","Obermeier 2024/2025 Staden iconography appendix; Zenodo 10.5281/zenodo.15600495"
