path,domain,layer,lifecycle_status,action,canonical_target,reason,reopen_rule
"data/canonical/entities.jsonl","core ontology entities","canonical","canonical","load","","Programme/design/work/agent authorities and explicit authority assertions.","Edit only through ontology-compliant evidence promotion."
"data/canonical/frontispiece_witnesses.jsonl","frontispiece witnesses","canonical","canonical","load","","Merged claim-specific witness layer from overlapping composition controls and selected annual-census promotions.","Add only source-backed witness occurrences; keep matrix claims separate from design claims."
"data/canonical/annual_host_census.csv","annual host spine","canonical","canonical","load","","Current annual/host-regime chronology with canonical frontispiece classifications and bounded unknowns.","Update from canonical witnesses or new issue-level evidence, not from legacy census rows."
"data/canonical/historiography_claims.jsonl","historiography boundary","canonical","canonical","load","","Claim-level prior-art and defensible-gap map from final 2026-08-27 sweep.","Reopen for newly published or newly identified directly overlapping scholarship."
"data/canonical/research_questions.jsonl","bounded open questions","canonical","canonical","load","","Each live or frozen question has an explicit reopen condition; prevents indefinite generic searching.","Change lifecycle only when the stated reopen condition is met or the research scope changes."
"data/canonical/colour_records.jsonl","colour as method","canonical_extension","canonical","load","","Source-backed colour operations and bounded cross-domain hypotheses governed by schema/COLOUR_ONTOLOGY.md without reopening the core identity ontology.","Promote only claim-specific colour records with explicit role, carrier, operation and evidence basis."
"data/canonical/colour_claims.jsonl","colour historiography boundary","canonical_extension","canonical","load","","Prior-art controls and bounded gaps for colour charts, hand colouring, Gatterer synchronistic colour and Göttingen colour-science context.","Reopen for directly overlapping historiography, especially colour translation regimes or heraldic monochrome decoders."
"data/canonical/colour_research_questions.jsonl","colour bounded questions","canonical_extension","canonical","load","","Primary-source and historiographical discriminators for the opened colour-method branch, including Schlözer's fact-colouring boundary.","Change status only when the stated primary/source discriminator is met; avoid generic colour bibliography expansion."
"data/ahb2_gdz_locator_1767_2026-08-26.jsonl","Gatterer heraldic method","operational_locator","quarantined","retain_exclude_from_canonical","","Resolver/locator artifact rather than historical evidence entity.","Promote only when a located primary page is inspected and encoded as a source-backed record."
"data/contemporary_reception_records.jsonl","contemporary evaluation","contextual_primary","active","retain","","Primary reception controls remain useful for period vocabulary but are not the atomic frontispiece corpus.","Reassess if a reception record directly explains a core plate/host transition."
"data/copy_afterlife_controls_2026-08-26.jsonl","copy afterlives","core_copy","active","retain","","Copy-level interventions are part of the core material history and must remain visible.","Canonicalise copy records when stable copy IDs and host-issue relations are available."
"data/core_records.jsonl","mixed core entities","legacy_mixed","superseded","retain_as_snapshot","data/canonical/entities.jsonl","Record types and evidence statuses no longer match the ontology; useful core entities are migrated to canonical records.","Reopen only to recover a source/claim not represented in canonical data."
"data/evidentiary_language_records.jsonl","evidentiary vocabulary prehistory","contextual_extension","frozen","freeze","","Useful lexical/operational prehistory already synthesised in README/docs; not necessary for canonical plate/witness queries.","Reopen on a new primary source that materially changes the claimed relation between evidence language and the core object ecology."
"data/frontispiece_composition_control_1726_1765_2026-08-26.jsonl","frontispiece compositions","legacy_overlap","superseded","merge_freeze","data/canonical/frontispiece_witnesses.jsonl","Overlaps heavily with the other composition-control file but contains unique 1746/1755/1759/1762/1765 controls.","Reopen only to recover source-specific detail missing from canonical witnesses."
"data/frontispiece_composition_control_1728_1751_2026-08-26.jsonl","frontispiece compositions","legacy_overlap","superseded","merge_freeze","data/canonical/frontispiece_witnesses.jsonl","Later-edited despite narrower filename; contains unique 1747/1749/1756/1757 controls. Must be unioned by record identity, not treated as an older snapshot.","Reopen only to recover source-specific detail missing from canonical witnesses."
