date,source,source_type,wording_or_claim,claim_level,physical_matrix_force,evidence_status,relation_to_later_32_block_claim,notes
1664,"Johann Just Winckelmann, Der Americanischen Neuen Welt Beschreibung, p.136","primary authorial text","~34 woodcuts recently found at Kassel; Staden had them designed/cut 'sonder Zweifel'; Winckelmann rescues/reuses them","recovered_stock_plus_authorial_provenance_attribution","attribution_not_pairwise_matrix_concordance","PRIMARY_TEXT_CONTROLLED","starting attribution layer","Immediately before this Winckelmann says he could not ascertain whether Staden's description with the wood figures had been printed."
1870-07-01,"Bernard Quaritch, Catalogue no.260, item 596","professional antiquarian/xylographic catalogue","large folded portrait and several woodcuts in text","neutral_visual_description","none","DIRECT_CATALOGUE_TEXT_CONTROLLED","pre-hardening control","Exact item wording directly surfaced; no original-block/same-block wording. Absence remains negative evidence only."
1925,"Hans Staden facsimile with Richard N. Wegner Begleitschrift, first ed.","scholarly facsimile/commentary","EXACT P.19 WORDING NOT YET RECOVERED","open","open","BIBLIOGRAPHY_CONTROLLED_TEXT_PENDING","critical hinge","Modern JCB cites Wegner p.19. First-edition commentary catalogued as 27 pages."
1927,"Wegner Begleitschrift, second expanded ed.","scholarly facsimile/commentary","EXACT P.19 WORDING NOT YET RECOVERED","open","open","BIBLIOGRAPHY_CONTROLLED_TEXT_PENDING","critical hinge / possible revised formulation","Expanded Begleitschrift is 52 pages with 6 illustrations and 1 map. Must distinguish editions."
1930,"Brazilian Academy / Staden editorial tradition","scholarly/editorial publication","Winckelmann associated with 'gravuras da 1ª edição' in surfaced indexed wording","first-edition_image_lineage","composition_or_edition_lineage_more_than_matrix","INDEXED_TEXT_CONTROL; DIRECT PAGE AUDIT DESIRABLE","early hardening","Do not normalize 'first-edition engravings' into physical same-block identity."
1931,"John Carter Brown Library catalogue vol.3, 1659–1674","institutional rare-book catalogue","modern JCB cites pp.122–123 as authority; exact old-volume wording still to recover","open_pending_direct_entry","open","PUBLICATION_DATE_CONTROLLED; ENTRY_TEXT_PENDING","important catalogue-layer source","'pre-1675' describes holdings chronology; volume itself is twentieth-century, not a premodern witness."
1932-1933,"Sabin, A Dictionary of Books Relating to America, vol.XXIII, late continuation","bibliographic dictionary","Winckelmann includes 'thirty-four of the original woodcuts of the Marpurg editions, the blocks for which he found at Cassel'","34_original_woodcuts_plus_blocks_found","strong_physical_provenance_implication","DIRECT_DIGITIZED_TEXT_CONTROLLED","clear 1930s hardening","Late continuation/Vail-era project; do not cite as a nineteenth-century Joseph Sabin witness."
1936,"Sabin/Vail-era Winckelmann entry, late volume","bibliographic dictionary","woodcuts described as printed from the same blocks used for first Staden edition","same_physical_blocks","explicit_same_matrix_claim","DIRECT_DIGITIZED_TEXT_PREVIOUSLY_CONTROLLED","strongest recovered bibliography hardening","Postdates Wegner; cannot establish Wegner wording by backward inference."
1942,"Genealogia journal Staden article","secondary reception","~30 woodcuts found with portrait which Winckelmann 'classificou de originais'","reported_authorial_classification","attribution_distinction_preserved","INDEXED_SCAN_CONTROLLED","useful epistemic counter-formulation","Secondary source, but wording aligns with primary p.136 attribution structure."
1964,"Maack/Fouquet, Hans Stadens wahrhaftige Historia; Fouquet edition-history section p.32","scholarly edition / bibliography","EXACT P.32 MATRIX WORDING NOT YET RECOVERED","open","open","BIBLIOGRAPHY_CONTROLLED_TEXT_PENDING","possible upstream source for later scholarly reconstruction","JCB cites Fouquet p.32. Obermeier 2000 cites Staden 1964 for adjacent portrait discussion, but this does not yet prove Fouquet is source of the some-block limit."
2000,"Franz Obermeier, Brasilien in Illustrationen des 16. Jahrhunderts","scholarly monograph","Winckelmann had 'die Platten einiger Holzschnitte der editio princeps Stadens' available and inserted them 'an beliebigen Stellen'","some_original_matrices_plus_arbitrary_relocation","explicit_partial_physical_matrix_survival","DIRECT_SCHOLARLY_TEXT_CONTROLLED","pre-2014 narrowing of bulk certainty","Shows the some-matrices + contextual-relocation model was explicit by 2000; not merely a late reaction to modern JCB metadata."
2014,"Franz Obermeier, Deutsche Reiseliteratur über Südamerika im 16. Jahrhundert","modern scholarship","Princeps partly; 'wohl nur ein Teil der originalen Druckstöcke erhalten'; no correct content assignment; used illustratively","partial_original_block_survival","narrows_bulk_matrix_claim","DIRECT_PDF_PAGE_AND_SCREENSHOT_CONTROLLED","reopens / restates bulk uncertainty","Direct page control strengthens existing status; supports at least some actual reuse but conflicts with 32-fold unqualified matrix identity."
2024-2025,"Franz Obermeier, Staden iconography/reception appendix","modern scholarship","page-level 1664 motif inventory; p.168 contextual relocation; p.171 fish-mouth recut diagnostic; p.179 shipwreck","item_level_composition_and_state_reconstruction","matrix_identity_still_requires_pairing","DIRECT_SCHOLARLY_APPENDIX_CONTROLLED","basis for physical concordance queue","Use to map motifs, not to bulk-promote same_matrix status."
modern,"JCB/Open Library edition note","institutional catalogue/derived metadata","32 Staden-section illustrations printed from original Marburg 1557 woodblocks; names eliminated p.168/179; p.18/74 not Staden-original","32_original_same-block_bulk_plus_state_exceptions","strong_bulk_same_matrix_claim","DIRECT_CATALOGUE_TEXT_CONTROLLED","current strong formula under audit","Do not promote to repository same_matrix until item-level physical comparison."
modern,"JCB AEAI p.142 individual record 01512-5","institutional image catalogue","illustration reprinted from original woodcut used in Staden 1557","individual_original-block_attribution","individual_same_matrix_claim","DIRECT_CATALOGUE_TEXT_CONTROLLED","positive catalogue control","Still not direct defect/dimension concordance by repository."
